video_id,parent_video_id,title,channel,topic,published_date,ingested_date,word_count,chunk,total_chunks,file_path
d8d9EZHU7fw,,Securing AI Agents with Zero Trust,IBM Technology,ai-llms,2026-02-10,2026-03-02,2549,,,topics/ai-llms/IBM Technology/2026-02-10_securing-ai-agents-with-zero-trust.md
pAIF7vZm5k0,,Agent memory resolved?,AI Jason,ai-llms,2026-02-18,2026-02-28,3089,,,topics/ai-llms/AI Jason/2026-02-18_agent-memory-resolved.md
kcOowmrVI7k,,How to prompt Gemini 3.1 for Epic animations,AI Jason,ai-llms,2026-02-25,2026-03-02,1008,,,topics/ai-llms/AI Jason/2026-02-25_how-to-prompt-gemini-31-for-epic-animations.md
fG95XsBO5U4,,Why MCP is dead & How I vibe now,AI Jason,ai-llms,2026-01-31,2026-01-31,2094,,,topics/ai-llms/AI Jason/2026-01-31_why-mcp-is-dead-how-i-vibe-now.md
3wglqgskzjQ,,Anthropic killed Tool calling,AI Jason,ai-llms,2026-02-22,2026-03-02,2834,,,topics/ai-llms/AI Jason/2026-02-22_anthropic-killed-tool-calling.md
u2xcbJNhZIY,,The Exact Claude Setup That Writes My Documents Automatically,Dylan Davis,ai-llms,2026-01-20,2026-03-02,4398,,,topics/ai-llms/Dylan Davis/2026-01-20_the-exact-claude-setup-that-writes-my-documents-automatically.md
NjjEkmP2C8k,,"Don’t Outsource Your Thinking"" to your Agent",Prompt Engineering,ai-llms,2026-01-31,2026-01-31,1871,,,topics/ai-llms/Prompt Engineering/2026-01-31_dont-outsource-your-thinking-to-your-agent.md
8dVCSPXG6Mw,,Anthropic Just Killed Tool Calling,Prompt Engineering,ai-llms,2026-02-18,2026-03-02,1963,,,topics/ai-llms/Prompt Engineering/2026-02-18_anthropic-just-killed-tool-calling.md
WKpCrvwyXB8,,How to Transplant Your ChatGPT Brain into Claude (AI Memory Transfer),Eliot Prince,ai-llms,2026-02-13,2026-03-02,2213,,,topics/ai-llms/Eliot Prince/2026-02-13_how-to-transplant-your-chatgpt-brain-into-claude-ai-memory-transfer.md
TlC7jq4ooSM,,"Stop Prompting, Start Engineering: The ""Context as Code"" Shift",AI Native Dev,ai-llms,2026-02-25,2026-03-02,5855,,,topics/ai-llms/AI Native Dev/2026-02-25_stop-prompting-start-engineering-the-context-as-code-shift.md
